case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
h200-tp4,triton,86,4,0.8020833283662796,0.7386050067603919,0.8655616499721673
h200-tp4,triton,87,4,0.8307291716337204,0.7759639611885528,0.885494382078888
h200-tp4,triton,88,4,0.9270833432674408,0.8939328925354991,0.9602337939993825
h200-tp4,triton,89,4,0.8046875,0.7733111026909035,0.8360638973090965
h200-tp4,triton,90,4,0.9348958432674408,0.9007251312066433,0.9690665553282383
h200-tp4,triton,91,4,0.9088541716337204,0.8721009659580021,0.9456073773094387
h200-tp4,triton,92,4,0.9166666716337204,0.8229029481658781,1.0104303951015627
h200-tp4,triton,93,4,0.9010416716337204,0.8513159428445329,0.9507674004229079
h200-tp4,triton,94,4,0.9479166567325592,0.9147662060006175,0.9810671074645009
h200-tp4,triton,95,4,0.8567708432674408,0.7498851735525431,0.9636565129823385
h200-tp4,triton,96,4,0.8697916716337204,0.7858177000850971,0.9537656431823437
h200-tp4,triton,97,4,0.8671875,0.8280217019079588,0.9063532980920412
h200-tp4,triton,98,4,0.8229166567325592,0.7897662060006175,0.8560671074645009
h200-tp4,triton,99,4,0.8098958432674408,0.7757251312066433,0.8440665553282383
h200-tp4,triton,100,4,0.875,0.875,0.875
h200-tp4,liger_tp,1,4,0.4270833358168602,0.30378610073420936,0.550380570899511
h200-tp4,liger_tp,2,4,0.5286458507180214,0.450460586933567,0.6068311145024757
h200-tp4,liger_tp,3,4,0.3541666716337204,0.2764218924710614,0.4319114507963794
h200-tp4,liger_tp,4,4,0.5104166641831398,0.4269897996846621,0.5938435286816175
h200-tp4,liger_tp,5,4,0.4947916641831398,0.3506092916916037,0.6389740366746759
h200-tp4,liger_tp,6,4,0.4687500074505806,0.3555195439319031,0.5819804709692581
h200-tp4,liger_tp,7,4,0.609375,0.5276112426959652,0.6911387573040348
h200-tp4,liger_tp,8,4,0.4973958358168602,0.3410985592363186,0.6536931123974018
h200-tp4,liger_tp,9,4,0.5104166641831398,0.4269897996846621,0.5938435286816175
h200-tp4,liger_tp,10,4,0.3489583358168602,0.28768223075097415,0.41023444088274624
h200-tp4,liger_tp,11,4,0.5052083358168602,0.3931976476193132,0.6172190240144072
h200-tp4,liger_tp,12,4,0.5078124925494194,0.44238050678798996,0.5732444783108488
h200-tp4,liger_tp,13,4,0.484375,0.4201793465689909,0.5485706534310091
h200-tp4,liger_tp,14,4,0.4114583358168602,0.27578413470615415,0.5471325369275662
h200-tp4,liger_tp,15,4,0.5104166716337204,0.38491097801519253,0.6359223652522483
h200-tp4,liger_tp,16,4,0.6588541567325592,0.5309094874201776,0.7867988260449408
h200-tp4,liger_tp,17,4,0.5572916641831398,0.4150275295125211,0.6995557988537585
h200-tp4,liger_tp,18,4,0.6302083432674408,0.406391439024221,0.8540252475106607
h200-tp4,liger_tp,19,4,0.71875,0.6552716701389764,0.7822283298610236
h200-tp4,liger_tp,20,4,0.5963541716337204,0.4903287574830809,0.7023795857843599
h200-tp4,liger_tp,21,4,0.544270820915699,0.41995653582662684,0.6685851060047712
h200-tp4,liger_tp,22,4,0.6796875,0.5454553010843046,0.8139196989156954
h200-tp4,liger_tp,23,4,0.734375,0.6608685672617859,0.8078814327382141
h200-tp4,liger_tp,24,4,0.6692708432674408,0.5946822755511069,0.7438594109837747
h200-tp4,liger_tp,25,4,0.7604166567325592,0.6769897765310382,0.8438435369340802
h200-tp4,liger_tp,26,4,0.6614583432674408,0.6518886050613304,0.6710280814735512
h200-tp4,liger_tp,27,4,0.7369791716337204,0.545884061917029,0.9280742813504118
h200-tp4,liger_tp,28,4,0.6770833283662796,0.6282871324253493,0.7258795243072099
h200-tp4,liger_tp,29,4,0.7213541716337204,0.6153287871376166,0.8273795561298242
h200-tp4,liger_tp,30,4,0.7786458432674408,0.7004605568626677,0.8568311296722139
h200-tp4,liger_tp,31,4,0.8593750149011612,0.7532416789966763,0.9655083508056461
h200-tp4,liger_tp,32,4,0.796875,0.7129010502924125,0.8808489497075875
h200-tp4,liger_tp,33,4,0.8307291716337204,0.744734723287704,0.9167236199797368
h200-tp4,liger_tp,34,4,0.7916666716337204,0.6833976367582846,0.8999357065091562
h200-tp4,liger_tp,35,4,0.828125,0.7611369968323577,0.8951130031676423
h200-tp4,liger_tp,36,4,0.703125,0.5359970019553429,0.8702529980446571
h200-tp4,liger_tp,37,4,0.8020833283662796,0.74309161564254,0.8610750410900192
h200-tp4,liger_tp,38,4,0.828125,0.654546020807737,1.001703979192263
h200-tp4,liger_tp,39,4,0.7630208432674408,0.6439749212797239,0.8820667652551577
h200-tp4,liger_tp,40,4,0.7760416567325592,0.6150540414909684,0.93702927197415
h200-tp4,liger_tp,41,4,0.8437499850988388,0.8105994869447517,0.8769004832529259
h200-tp4,liger_tp,42,4,0.8307291567325592,0.7155938268938604,0.945864486571258
h200-tp4,liger_tp,43,4,0.7786458283662796,0.6371077914291683,0.9201838653033909
