case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,liger_tp,96,4,0.0,0.0,0.0
b300-tp1,liger_tp,97,4,0.0,0.0,0.0
b300-tp1,liger_tp,98,4,0.0,0.0,0.0
b300-tp1,liger_tp,99,4,0.0,0.0,0.0
b300-tp1,liger_tp,100,4,0.0,0.0,0.0
b300-tp4,triton,1,4,0.0,0.0,0.0
b300-tp4,triton,2,4,0.0,0.0,0.0
b300-tp4,triton,3,4,0.0,0.0,0.0
b300-tp4,triton,4,4,0.0,0.0,0.0
b300-tp4,triton,5,4,0.0,0.0,0.0
b300-tp4,triton,6,4,0.0,0.0,0.0
b300-tp4,triton,7,4,0.0,0.0,0.0
b300-tp4,triton,8,4,0.0,0.0,0.0
b300-tp4,triton,9,4,0.0,0.0,0.0
b300-tp4,triton,10,4,0.0,0.0,0.0
b300-tp4,triton,11,4,0.0,0.0,0.0
b300-tp4,triton,12,4,0.0,0.0,0.0
b300-tp4,triton,13,4,0.0,0.0,0.0
b300-tp4,triton,14,4,0.0,0.0,0.0
b300-tp4,triton,15,4,0.0,0.0,0.0
b300-tp4,triton,16,4,0.0,0.0,0.0
b300-tp4,triton,17,4,0.0,0.0,0.0
b300-tp4,triton,18,4,0.0,0.0,0.0
b300-tp4,triton,19,4,0.0,0.0,0.0
b300-tp4,triton,20,4,0.0,0.0,0.0
b300-tp4,triton,21,4,0.0,0.0,0.0
b300-tp4,triton,22,4,0.0,0.0,0.0
b300-tp4,triton,23,4,0.0,0.0,0.0
b300-tp4,triton,24,4,0.0026041667442768812,-0.005683454089389781,0.010891787577943544
b300-tp4,triton,25,4,0.0,0.0,0.0
b300-tp4,triton,26,4,0.0,0.0,0.0
b300-tp4,triton,27,4,0.0,0.0,0.0
b300-tp4,triton,28,4,0.0,0.0,0.0
b300-tp4,triton,29,4,0.0026041667442768812,-0.005683454089389781,0.010891787577943544
b300-tp4,triton,30,4,0.0,0.0,0.0
b300-tp4,triton,31,4,0.0026041667442768812,-0.005683454089389781,0.010891787577943544
b300-tp4,triton,32,4,0.007812500232830644,-0.008057085457086645,0.023682085922747932
b300-tp4,triton,33,4,0.0026041667442768812,-0.005683454089389781,0.010891787577943544
b300-tp4,triton,34,4,0.010416666977107525,-0.0031169611723209176,0.023950295126535966
b300-tp4,triton,35,4,0.0052083334885537624,-0.011366908178779563,0.021783575155887087
b300-tp4,triton,36,4,0.013020833022892475,-0.028417268922527772,0.05445893496831272
b300-tp4,triton,37,4,0.026041666977107525,-0.013415298921319457,0.06549863287553451
b300-tp4,triton,38,4,0.010416666977107525,-0.022733816357559125,0.043567150311774175
